No.  X  Y  Z  Yaw  Pitch  Roll  Weld_En
1 0.213 0.028 1.33 0 0 1 1
1 0.684 -0.011 1.33 0 0 1 1
1 1.247 -0.156 1.33 0 0 1 1
1 1.774 -0.407 1.33 0 0 1 1
1 2.182 -0.695 1.33 0 0 1 1
1 2.537 -1.047 1.33 0 0 1 1
1 2.876 -1.521 1.33 0 0 1 1
1 3.117 -2.049 1.33 0 0 1 1
1 3.228 -2.464 1.33 0 0 1 1
1 3.332 -2.996 1.33 0 0 1 1
1 3.499 -3.723 1.33 0 0 1 1
1 3.811 -4.797 1.33 0 0 1 1
1 4.268 -6.041 1.33 0 0 1 1
1 4.777 -7.153 1.33 0 0 1 1
1 5.314 -8.138 1.33 0 0 1 1
1 5.705 -8.772 1.33 0 0 1 1
1 6.024 -9.246 1.33 0 0 1 1
1 6.762 -10.226 1.33 0 0 1 1
1 7.57 -11.15 1.33 0 0 1 1
1 8.074 -11.664 1.33 0 0 1 1
1 8.43 -12.001 1.33 0 0 1 1
1 9.365 -12.801 1.33 0 0 1 1
1 10.262 -13.466 1.33 0 0 1 1
1 11.385 -14.181 1.33 0 0 1 1
1 12.079 -14.564 1.33 0 0 1 1
1 12.452 -14.752 1.33 0 0 1 1
1 13.575 -15.252 1.33 0 0 1 1
1 14.627 -15.633 1.33 0 0 1 1
1 15.902 -15.997 1.33 0 0 1 1
1 17.1 -16.242 1.33 0 0 1 1
1 18.207 -16.387 1.33 0 0 1 1
1 19.533 -16.468 1.33 0 0 1 1
1 20.752 -16.449 1.33 0 0 1 1
1 21.868 -16.353 1.33 0 0 1 1
1 23.177 -16.147 1.33 0 0 1 1
1 24.367 -15.866 1.33 0 0 1 1
1 25.433 -15.532 1.33 0 0 1 1
1 26.669 -15.048 1.33 0 0 1 1
1 27.769 -14.518 1.33 0 0 1 1
1 28.829 -13.909 1.33 0 0 1 1
1 29.757 -13.284 1.33 0 0 1 1
1 30.802 -12.468 1.33 0 0 1 1
1 31.706 -11.646 1.33 0 0 1 1
1 32.547 -10.76 1.33 0 0 1 1
1 33.259 -9.896 1.33 0 0 1 1
1 34.054 -8.776 1.33 0 0 1 1
1 34.659 -7.769 1.33 0 0 1 1
1 35.214 -6.678 1.33 0 0 1 1
1 35.547 -5.91 1.33 0 0 1 1
1 35.684 -5.559 1.33 0 0 1 1
1 36.077 -4.396 1.33 0 0 1 1
1 36.362 -3.304 1.33 0 0 1 1
1 36.446 -2.914 1.33 0 0 1 1
1 36.603 -2.012 1.33 0 0 1 1
1 36.727 -0.896 1.33 0 0 1 1
1 36.773 -0.086 1.33 0 0 1 1
1 36.781 0.42 1.33 0 0 1 1
1 36.726 1.756 1.33 0 0 1 1
1 36.604 2.865 1.33 0 0 1 1
1 36.404 3.965 1.33 0 0 1 1
1 36.075 5.258 1.33 0 0 1 1
1 35.922 5.747 1.33 0 0 1 1
1 35.65 6.499 1.33 0 0 1 1
1 35.212 7.536 1.33 0 0 1 1
1 34.705 8.538 1.33 0 0 1 1
1 34.027 9.673 1.33 0 0 1 1
1 33.322 10.671 1.33 0 0 1 1
1 32.675 11.466 1.33 0 0 1 1
1 31.777 12.428 1.33 0 0 1 1
1 30.801 13.325 1.33 0 0 1 1
1 29.837 14.083 1.33 0 0 1 1
1 29.332 14.438 1.33 0 0 1 1
1 28.834 14.76 1.33 0 0 1 1
1 27.676 15.42 1.33 0 0 1 1
1 26.668 15.904 1.33 0 0 1 1
1 25.628 16.318 1.33 0 0 1 1
1 24.365 16.721 1.33 0 0 1 1
1 23.177 17.002 1.33 0 0 1 1
1 21.868 17.208 1.33 0 0 1 1
1 20.752 17.305 1.33 0 0 1 1
1 19.634 17.324 1.33 0 0 1 1
1 18.412 17.261 1.33 0 0 1 1
1 17.098 17.096 1.33 0 0 1 1
1 15.901 16.852 1.33 0 0 1 1
1 14.725 16.521 1.33 0 0 1 1
1 13.575 16.106 1.33 0 0 1 1
1 12.458 15.61 1.33 0 0 1 1
1 11.381 15.034 1.33 0 0 1 1
1 10.348 14.382 1.33 0 0 1 1
1 9.286 13.591 1.33 0 0 1 1
1 8.36 12.79 1.33 0 0 1 1
1 7.564 11.999 1.33 0 0 1 1
1 7.149 11.541 1.33 0 0 1 1
1 6.702 11.004 1.33 0 0 1 1
1 6.028 10.107 1.33 0 0 1 1
1 5.36 9.073 1.33 0 0 1 1
1 5.101 8.622 1.33 0 0 1 1
1 4.779 8.013 1.33 0 0 1 1
1 4.23 6.799 1.33 0 0 1 1
1 3.836 5.734 1.33 0 0 1 1
1 3.527 4.682 1.33 0 0 1 1
1 3.234 3.348 1.33 0 0 1 1
